Football Manager 2013	"Football Manager 2013 (often abbreviated to FM13) is a 2012 football management simulation video game developed by Sports Interactive and published by Sega. It was released on Microsoft Windows and OS X on 2 November 2012.[1] Football Manager Handheld 2013 was subsequently published for PlayStation Portable on 30 November,[2] and for iOS and Android on 13 December. FM13 features similar gameplay to that of the Football Manager series. Gameplay consists of taking charge of a professional[a] association football team, as the team manager. Players can sign football players to contracts, manage finances for the club, and give team talks to players. FM19 is a simulation of real world management, with the player being judged on various factors by the club's AI owners and board. FM13 includes a quicker mode of play, called ""Football Manager Classic"". This new mode allow gamers to complete a season in less time than the normal game mode. It retains the 3D match engine and player/staff database, but simplifies the way players manage their club and allows them to focus on selected key areas to build success. A player can complete a season in approximately seven hours of gameplay."
Football Manager 2012	"Football Manager 2012 (abbreviated to FM12) is a football management-simulation video game. It was released on Microsoft Windows and Mac OS X on 21 October 2011.[2] FM12 is the eighth game in the Football Managerseries. FM12 features similar gameplay to that of the Football Manager series. Gameplay consists of taking charge of a Professional association football team, as the team manager. Players can sign football players to contracts, manage finances for the club, and give team talks to players. FM19 is a simulation of real world management, with the player being judged on various factors by the club's AI owners and board. FM12 added increased levels of scouting, including the amount of information a scout would bring back for in-game players. The largest new addition to the game was the ability to add or remove playable leagues from the game at the end of every season. "
Football Manager 2014	"Football Manager 2014 (commonly abbreviated to FM14) is a football management simulation video game developed by Sports Interactive and published by Sega. It was released on Microsoft Windows, OS X, Linux on 30 October 2013. A handheld version titled Football Manager Handheld 2014 was released for iOS and Android on 14 November 2013. A PlayStation Vita version titled Football Manager Classic 2014 was released on 11 April 2014. FM14 features similar gameplay to that of the Football Manager series. Gameplay consists of taking charge of a professional[a] association football team, as the team manager. Players can sign football players to contracts, manage finances for the club, and give team talks to players. FM19 is a simulation of real world management, with the player being judged on various factors by the club's AI owners and board. FM14 features a revamped transfer module where opposing clubs and managers adopt a more realistic approach when making or responding to transfer offers. In addition, a number of new ‘real world’ transfer clauses have been added, such as the ability to loan a player back to the club he’s just been bought from and the option to offer a combination of cash and loan players, as well as new contract clauses such as a sub bench appearance fee. The old ‘turn-based’ system of transfer negotiations can now be done two ways, the tried and tested system and a new ‘live’ system, similar to that used in Football Manager's contract negotiations."
Terraria	"Terraria is a 2D action-adventure sandbox video game developed by Re-Logic. The game was initially released for Microsoft Windows in May 2011, and has since been released for various consoles, handhelds, and mobile devices. Gameplay of Terraria features exploration, crafting, building, and combat with a variety of creatures in a procedurally generated 2D world. Terraria received generally positive critical reception upon release, with direct comparisons to Minecraft and praise given to its sandbox elements. By September 2018, the game had sold over 25 million copies across all platforms. Terraria is a sandbox 2D game with gameplay that revolves around exploration, building, combat, and mining.[1][2] The game has a 2D sprite tile-based graphical style reminiscent of the 16-bit sprites found on the Super NES.[2] The game is noted for its classic exploration-adventure style of gameplay, similar to titles such as the Metroid series and Minecraft. The game starts in a procedurally generated world. The player starts with three basic tools: a pickaxe for mining, a shortsword for combat, and an axe for woodcutting.[1] Many resources, notably ores, can be found while mining or exploring underground caves. The player begins with a limited amount of health and magic points, which can both be increased by finding certain items by exploring.[1] Some resources, and most items, may only be found in certain areas of the map, stored in common and rare containers, or dropped by certain enemies.[1] The player uses resources to craft new items and equipment at an appropriate crafting station for that recipe. For example, tables or other items can be crafted at a work bench, and bars can be smelted from ore at a furnace. Several advanced items in Terraria require multiple crafting operations where the product of one recipe is used as an ingredient for another."
Warframe	"Warframe is a free-to-play cooperative third-person shooter video game developed and published by Digital Extremes. Originally released for Microsoft Windows in March 2013, it was later ported to the PlayStation 4, Xbox One, and will release on the Nintendo Switch November 20 2018. In Warframe, players control members of the Tenno, a race of ancient warriors who have awoken from centuries of cryosleep to find themselves at war in a planetary system with different factions. The Tenno use their powered Warframes along with powerful weapons and abilities to complete missions. The game includes elements of shooting and melee games, parkour, and role-playing to allow players to advance their Tenno character with improved gear. The concepts for Warframe had been in place at Digital Extremes since 2000 under the name Dark Sector. The company reintroduced Dark Sector in 2004 in preparation for release on the upcoming seventh generation consoles but could not find a publisher due to its theme. Ultimately Digital Extremes released a game called Dark Sector in 2008, far different from their original plan. By 2012, looking at the success of free-to-play games, the developers took their earlier Dark Sector ideas and art assets, to present it as Warframe."
Football Manager 2015	"Football Manager 2015 (abbreviated to FM15) is a football management simulation video game developed by Sports Interactive and published by Sega. It was released on Microsoft Windows, OS X, and Linux platforms on 7 November 2014, and on iOS and Android platforms on 20 November 2014. FM15 features similar gameplay to that of the Football Manager series. Gameplay consists of taking charge of a professional[a] association football team, as the team manager. Players can sign football players to contracts, manage finances for the club, and give team talks to players. FM19 is a simulation of real world management, with the player being judged on various factors by the club's AI owners and board. The game offers a variety of new features such as being the first game of the franchise to include Twitch integration so people can stream their game online. There has been an overhaul in the match engine, adding 2000 new animations into the game, improved ball physics and improved shots, passes, long balls etc.The player models have also been updated adding new realism into the game along with a brand new lighting model. FM15 featured a complete redesign of the game's interface, introducing a new sidebar giving a new look on Football Manager 2015. Managers now choose between being a ""Tracksuit"" manager or a ""Tactical"" manager; when designing a new avatar. A Tracksuit manager specialises in training; and on the field knowledge, whilst a tactical manager specialises in tactics, formations and player morale.[3]"
Arma 3	"ARMA 3[N 1] is an open-world, realism-based, military tactical shooter video game developed and published by Bohemia Interactive. It was released for Microsoft Windows in September 2013, and later announced for OS Xand Linux in August 2015. ARMA 3's storyline takes place in the mid-2030s during the fictional Operation Magnitude, a military operation launched by NATO forces fighting in Europe against ""Eastern armies"" referred to as Canton-Protocol Strategic Alliance Treaty (CSAT), led by a resurgent Iranian military with a coalition of other Middle Eastern and Asian nations, such as China. The single-player campaign has the player take control of U.S. Army soldier Corporal Ben Kerry. During the campaign, the player will face everything from lone wolf infiltration missions to the commanding of large scale armored operations. The player will be able to choose different objectives and weaponry (such as UAVs, artillery, and air support) according to their play style. ARMA 3 takes place on the Aegean-based islands of Altis and Stratis,[8] and the South Pacific island of Tanoa. The islands feature photo-realistic terrain and water environments. Altis is the largest official terrain in the ARMAseries with ground area covering approximately 270 square kilometres (100 sq mi). The smaller island, Stratis, expands over an area of 20 square kilometres (7.7 sq mi).[9]"
Grand Theft Auto V	"Grand Theft Auto V is an action-adventure video game developed by Rockstar North and published by Rockstar Games. It was released in September 2013 for PlayStation 3 and Xbox 360, in November 2014 for PlayStation 4 and Xbox One, and in April 2015 for Microsoft Windows. It is the first main entry in the Grand Theft Auto series since 2008's Grand Theft Auto IV. Set within the fictional state of San Andreas, based on Southern California, the single-player story follows three criminals and their efforts to commit heists while under pressure from a government agency. The open world design lets players freely roam San Andreas' open countryside and the fictional city of Los Santos, based on Los Angeles.The game is played from either.third-person or first-person perspective and its world is navigated on foot or by vehicle. Players control the three lead protagonists throughout single-player and switch between them both during and outside missions. The story is centred on the heist sequences, and many missions involve shooting and driving gameplay. A ""wanted"" system governs the aggression of law enforcement response to players who commit crimes. Grand Theft Auto Online, the game's online multiplayer mode, lets up to 30 players engage in a variety of different cooperative and competitive game modes"
Borderlands 2	"Borderlands 2 is an open world action role-playing first-person shooter video game developed by Gearbox Software and published by 2K Games.[4] It is the second game in the Borderlands series and the sequel to 2009's Borderlands. The game was released for Microsoft Windows, PlayStation 3, Xbox 360, and OS X on September 18, 2012. It was ported to the PlayStation Vita on May 13, 2014, and released for Linux on September 30, 2014.[1] Borderlands 2 allows players to complete a campaign consisting of central quests and optional side-missions as one of four (six including downloadable content) treasure seekers, ""Vault Hunters"", on the planet Pandora. Key gameplay features from its predecessor, such as online collaborative campaign gameplay, randomly generated loot, such as weapons and shields and character-building elements commonly found in role-playing video gamesare in Borderlands 2."
Empire Total War	"Empire: Total War is a turn-based strategy and real-time tactics video game developed by Creative Assembly and published by Sega. The fifth installment in the Total War series, the game was released in 2009. The game, which focuses on the early modern period of the 18th century, was announced at the Leipzig Games Convention in August 2007. The Mac OS X version of the game was released by Feral Interactive on 10 June 2014. The Linux version was released, also by Feral Interactive, on 8 December 2014. Players choose an 18th-century faction and set out to achieve domination over the known world through military force, diplomacy, espionage and economics. The interface and play are similar to earlier Total War titles: although the campaign element of the game is turn-based, players can direct battles in real-time. Empire: Total War is the first game in the series to allow naval battles to be conducted in real-time. In addition to the standard campaign mode, a special campaign follows the development of the United States from the settlement of Jamestown to the American War of Independence. Players may also recreate several historical battles from the early modern era, such as the Battle of Fontenoy, Battle of Rossbach, Battle of Brandywine Creek and Battle of Lagos."
Total War ROME II - Emperor Edition	"Total War: Rome II is a strategy game developed by The Creative Assembly and published by Sega. It was released on 3 September 2013 for Microsoft Windows[5] and is the eighth standalone game in the Total War seriesof video games. Rome II is a successor to the 2004 game Rome: Total War. The game released to mostly positive reviews from critics, but suffered from significant technical problems upon release. However, it proved a commercial success, surpassing all other games in the Total War series in both sales and number of concurrent players on its release day. Total War: Rome II is set in the classical antiquity period, and provides a more sophisticated portrayal of each culture, which in the original game had been portrayed anachronistically. The grand campaign begins in 272 BC and lasts for 300 years. However, the player also has the option to play further, as there are no timed victory conditions. The Warscape engine powers the visuals of the game and new unit cameras allow players to focus on individual soldiers on the battlefield, which may contain thousands of combatants. Creative Assembly has stated that it wishes to bring out the more human side of war, with soldiers reacting as their comrades get killed around them, and officers inspiring men with heroic speeches"
Call of Duty Modern Warfare 3 - Multiplayer	"Call of Duty: Modern Warfare 3 (stylized as Call of Duty: MW3) is a first-person shooter video game, developed by Infinity Ward and Sledgehammer Games, with assistance from Raven Software, and published by Activision. The game was released worldwide in November 2011 for Microsoft Windows, the Xbox 360, PlayStation 3, and Wii. It is the third installment in the Modern Warfare saga, a direct sequel to 2009's Call of Duty: Modern Warfare 2, and the eighth Call of Duty installment. A separate version for the Nintendo DS was developed by n-Space, while Treyarch developed the game's Wii port. In Japan, Square Enix published the game with a separate subtitled and dubbed version. The game's campaign follows Modern Warfare 2 and begins right after the events of its final mission. Similar to Modern Warfare 2, it is centered around the Task Force 141, which contains Captain Price, Soap MacTavish, and Yuri, one of the playable characters. Alongside the Delta Force and Special Air Service, they hunt Vladimir Makarov (antagonist of Modern Warfare 2), a Russian terrorist who leads the Russian Ultranationalist party. He leads several terror attacks across Europe, triggering a large-scale war between the Ultranationalists and friendly forces. For the game's multiplayer mode, new mode types and killstreak choices were brought in. Improvements were also made to the mode that solved issues that appeared in Modern Warfare 2."
Mount & Blade Warband	"Mount & Blade: Warband is the stand-alone expansion pack to the action role-playing video game Mount & Blade. Announced in January 2009, the game was developed by the Turkish company TaleWorlds Entertainmentand was published by Paradox Interactive on March 30, 2010.[4][5] The game is available as a direct download from the TaleWorlds website, through the Steam digital distribution software, as a DRM-free version from GOG.com, or as a DVD with required online activation. The macOS and Linux versions were released on July 10, 2014 through Steam Warband expands on the original game by introducing a sixth faction (The Sarranid Sultanate), increasing political options, adding the ability for the player to start their own faction, and incorporating multiplayer modes. Reviews of the game were generally favourable, with the addition of multiplayer praised.[7] The game places a focus on the horse-mounted combat and giving orders to one's warband in the field, such as telling archers to hold a position or infantry to use blunt weapons. The main changes to the game were the inclusion of multiplayer capability, the introduction of a sixth faction, Sarranid Sultanate, and the reorganisation of the overworld map.[9] The introduction of political options allows players to influence lords and marry ladies, and it is possible for an unaligned player to capture a town or castle and start their own faction.[9] The game contains slightly improved graphics, along with new or altered animations in combat"
DayZ	"DayZ is an open world survival video game in development by Bohemia Interactive. It is the standalone successor of the mod of the same name. The game was released for Microsoft Windows via early access on Steam in December 2013, and is in early alpha testing. The game places the player in the fictional post-Soviet Republic of Chernarus, where a mysterious plague has turned most of the population into violent ""infected"". As a survivor, the player must scavenge the world for food, water, weapons, and medicine, while killing or avoiding zombies, and killing, avoiding, or cooperating with other players in an effort to survive the outbreak"
PAYDAY 2	"Payday 2 is a cooperative first-person shooter video game developed by Overkill Software and published by 505 Games. The game is a sequel to 2011's Payday: The Heist. It was released in August 2013 for Microsoft Windows, PlayStation 3 and Xbox 360. An improved version of the game, subtitled Crimewave Edition, was released for PlayStation 4 and Xbox One in June 2015.[3] A version for Nintendo Switch was released in February 2018.[4]Two years after the events of the previous game, a new gang comes to the Washington, D.C. area to perform another heisting spree. The player takes control of one of the gang's twenty one members and can perform heists alone, or with up to three teammates. The player can participate in a variety of heists, including but not limited to robberies of banks, shops and armored cars, and producing and distributing narcotics. The game differs on the previous by allowing much more customization of the player (aesthetically and gameplay-wise), somewhat improved graphical interface and experience, more variety and playability in levels, and has reworked stealth mechanics"
Unturned	"Unturned is a free-to-play survival game developed by Smartly Dressed Games, a one-man studio consisting of Canadian game designer Nelson Sexton.[1] Following a three-year long early access beta phase, it was released for Microsoft Windows, macOS, and Linux on July 7, 2017. Unturned features several different game modes, all of which consist of the same basic concept of zombie survival. The game also has multiple difficulty settings. In the survival game mode, the player's character is spawned on a game map with clothes depending on their skill set.[2] Players must find weapons and supplies to survive against the zombies. As the player progresses through the game, they gain experience points which can then be used for upgrades. Survival mode is also available in multiplayer. The greater aim is to survive, but the players may team-up or fight each other. Players must keep up their health, food and water, and radiation levels. Radiation damage can be obtained from getting hit by zombies or entering ""deadzones"" without proper hazmat protection. The game's multiplayer option has created a platform for multiple kinds of gameplay, such as survival, roleplay, creative, paintball and battle royale style arena matches, similar to Roblox, where Nelson first started his development career. The game consists of several permanent maps: Washington, PEI, Yukon, Germany, Greece, Russia, Hawaii and Cyprus Survival are all single player compatible survival maps. The latter 4 were developed by teams of developers more recently, and contain new additions like quests, a storyline, NPCs, and more Easter eggs to discover. Also in the game are Festive PEI, Festive Russia, and Halloween PEI, which gave certain maps holiday themes. There are also six arena maps available: Alpha Valley, Monolith, Paintball Arena, Washington Arena, PEI Arena, and Cyprus Arena"
Call of Duty Black Ops - Multiplayer	"Call of Duty: Black Ops is a first-person shooter video game,[1] developed by Treyarch and published by Activision. It was released worldwide on November 9, 2010 for Microsoft Windows, the PlayStation 3, Xbox 360,[2]and Wii,[3] with a separate version for Nintendo DS developed by n-Space.[4][5] Aspyr later released the game for OS X on September 27, 2012.[6] It is the seventh title in the Call of Duty series and the third to be developed by Treyarch. It serves as the sequel to Call of Duty: World at War.[7]Set in the 1960s during the Cold War, the game's campaign follows CIA operative Alex Mason as he attempts to recall certain memories in combat in order to locate a numbers station. This station is due to transmit broadcasts to sleeper agents who are bound to use chemical weapons across the United States. Mason and CIA operative Jason Hudson are the game's main playable characters, as well as Red Army soldier Viktor Reznovin only one mission. Locations featured in the game include Cuba, Russia, United States, Kazakhstan, Hong Kong, Laos, Vietnam, and the Arctic Circle. The multiplayer of Black Ops features multiple objective-based game modes that are playable on 14 different maps included with the game. Improvements to loadout options and killstreak rewards are made. A form of virtual currency, COD Points, allows players to purchase weapons and customization options for their in-game character, as well as attachments and customization options for their weapon."
Total War SHOGUN 2	"Total War: Shogun 2 is a strategy video game developed by The Creative Assembly and published by Sega. It is part of the Total War series and returns to the 16th-century Japan setting of the first Total War game, Shogun: Total War, after a series of games set mainly in Europe. Shogun 2 is set in 16th-century feudal Japan, in the aftermath of the ?nin War during the Ashikaga shogunate. The country is fractured into rival clans led by local warlords, each fighting for control. The player takes on the management of one of these clans, with the goal of dominating other factions and claiming his rule over Japan. The standard edition of the game features a total of eight factions (plus a ninth faction for the tutorial), each with a unique starting position and different political and military strengths. The limited edition includes an exclusive ninja clan, the Hattori, and a DLC unlocks a tenth clan, the Ikko-Ikki.[1][2]"
Rust	"Rust is a survival video game developed and published by Facepunch Studios in February 2018 for Microsoft Windows, OS X, and Linux. The game has only a multiplayer mode. Rust was created initially as a clone of DayZ, a popular mod for ARMA 2 with crafting elements like those found in Minecraft. The objective of Rust is to survive in the wilderness using gathered or stolen materials. They must successfully manage their hunger, thirst and health or risk dying. While there are bears and wolves, given the game is multiplayer-only, the primary threat is other players. Combat uses firearms and primitive weapons such as bows. In addition, attack helicopters, a vehicle controlled by non-player characters, will occasionally fly around attacking heavily-armed players though they can be taken down with persistence. The game features crafting, though initially only limited options are offered. To stay protected players must build bases or join clans with others to improve their survivability. Raiding is commonplace and done more frequently by large clans"
Fallout New Vegas	"Fallout: New Vegas is a post-apocalyptic action role-playing video game. It is a spin-off of the Fallout series and was developed by Obsidian Entertainment and published by Bethesda Softworks. It was announced in April 2009 and released for Microsoft Windows, PlayStation 3 and Xbox 360 on October 19, 2010. The game is set in a post-apocalyptic open world environment that encompasses a region consisting of parts of Nevada, California, and Arizona. It is set in a world that deviated onto an alternate timeline thanks to atomic age technology, which eventually led to its devastation by a nuclear apocalypse in the year 2077 in an event referred to as ""The Great War"". This war was caused by a major international conflict between the United States and China over natural resources. The main story of New Vegas takes place in the year 2281, four years after the events of Fallout 3. It is not a direct sequel, but it does mark the return of a number of elements found in the Black Isle Studios-developed Fallout 2. Players take control of a character known as the Courier. While transporting a package across the Mojave Desert to the city of New Vegas, the Courier is ambushed, robbed of the package, shot in the head, and left for dead. After surviving, the Courier begins a journey to find their would-be killer and recover the package, makes friends and enemies among various factions, and ultimately becomes caught up in a conflict that determines who will control New Vegas and the Mojave Wasteland. New Vegas received positive reviews, with critics praising the game's writing, quests, and improved gameplay, while garnering criticism for glitches and bugs on launch. New Vegas was a commercial success, shipping more than 5 million copies altogether, and is estimated to have sold around 12 million copies worldwide. The game also received a Golden Joystick Award for ""RPG of the Year"" in 2011."
War Thunder	"War Thunder is a cross platform vehicular combat multiplayer game developed by the Russian company Gaijin Entertainment for Microsoft Windows, macOS, Linux, PlayStation 4, and Shield Android TV. It was released on June 19, 2018 for the Xbox One The game is based around combined arms battles on air, land, and sea with vehicles from the Spanish Civil War to the Cold War,[12] with an emphasis on World War II.[13][14][15] Players have access to more than 1,000 playable aircraft, tanks, and ships from the Soviet Union, Nazi Germany, the United Kingdom, the Japanese Empire, the United States, Fascist Italy, France, and China (which is only available on the Chinese server). Other nations, such as Canada, Australia, and Romania, are also featured as part of the arsenal of the seven main nations. Most in-game maps are either directly or indirectly based on real battles of the era such as those in Stalingrad, Russia, or Peleliu — an island in the Palau chain — though there are exceptions, such as a speculative German invasion of Britain inspired by Operation Sea Lion "
Call of Duty Black Ops II - Multiplayer	"Call of Duty: Black Ops II is a first-person shooter developed by Treyarch and published by Activision. It was released for Microsoft Windows, PlayStation 3, and the Xbox 360 on November 13, 2012, and for the Wii U on November 18 in North America and November 30 elsewhere.[1][2][3][4][5] Black Ops II is the ninth game in the Call of Duty franchise of video games, a sequel to the 2010 game Call of Duty: Black Ops and the first Call of Dutygame for the Wii U. A corresponding game for the PlayStation Vita, Call of Duty: Black Ops: Declassified, was developed by nStigate Games and also released on November 13.The game's campaign follows up the story of Black Ops and is set in two different time periods; the late 1980s and 2025. In the 80s, the player switches control between Alex Mason and Frank Woods, two of the protagonists from Black Ops, while in 2025, the player assumes control of Mason's son, David (codenamed ""Section""). Both time periods involve the characters pursuing Raul Menendez, a Nicaraguan cartel leader, who is responsible for kidnapping Woods in the 80s and later sparking a second Cold War in 2025. The campaign features nonlinear gameplay and has multiple endings.[6]"
ARK Survival Evolved	"ARK: Survival Evolved (stylized as ?RK) is an action-adventure survival video game developed by Studio Wildcard, in collaboration with Instinct Games, Efecto Studios, and Virtual Basement. It was released in August 2017 for PlayStation 4, Xbox One, Microsoft Windows, OS X and Linux, with versions for Android, iOS, and Nintendo Switch in 2018. In the game, players must survive being stranded on an island filled with roaming dinosaurs and other prehistoric animals, natural hazards, and potentially hostile human players. The game is played from either a third-person or first-person perspective and its open world is navigated on foot or by riding a prehistoric animal. Players can use firearms and improvised weapons to defend against hostile humans and creatures, with the ability to build bases as defense. The game has both single-player and multiplayer options. Multiplayer allows the option to form tribes of members in a server. The max number of tribe mates varies from each server. In this mode all tamed dinosaurs and building are shared between the members"
